time pos vel volts sp
0.10000000000000002 0.09555799963471794 -0.04290664077867986 1.6629592699594617 2
0.2000000000000001 0.09136600844204099 -0.04112477150352265 1.665898666237907 2
0.30000000000000016 0.08729002409175922 -0.040420987570325875 1.6671216888714744 2
0.40000000000000024 0.08325995295443274 -0.040142461987487575 1.667605693965478 2
0.5000000000000003 0.07924805217066311 -0.040032234273160376 1.667797241096701 2
0.6000000000000004 0.07524334238357477 -0.03998861117436705 1.6678730467059575 2
0.7000000000000005 0.07124147846478976 -0.039971347142753036 1.6679030471085197 2
0.8000000000000006 0.06724074081080077 -0.03996451482689138 1.6679149198970054 2
0.9000000000000007 0.06324044888101671 -0.039961810908128295 1.667919618605894 2
1.0000000000000007 0.059240333348531904 -0.03996074082043929 1.6679214781418192 2
1.0999999999999985 0.05524028762604701 -0.039960317328624824 1.667922214059213 2
1.1999999999999964 0.051240269531174595 -0.03996014972983539 1.6679225053036415 2
1.2999999999999943 0.047240262370050086 -0.039960083401930684 1.6679226205623774 2
1.3999999999999921 0.04324025953600415 -0.039960057152359924 1.6679226661774225 2
1.49999999999999 0.039240258414418416 -0.03996004676393318 1.6679226842309145 2
1.5999999999999879 0.03524025797054626 -0.039960042652733854 1.6679226913728682 2
1.6999999999999857 0.031240257794882154 -0.03996004102568012 1.667922694200806 2
1.7999999999999836 0.02724025772536258 -0.039960040381768154 1.6679226953201107 2
1.8999999999999815 0.023240257697850222 -0.03996004012693263 1.6679226957627566 2
1.9999999999999793 0.019240257686962317 -0.03996004002607952 1.6679226959388158 2
2.0999999999999774 0.015240257682653543 -0.039960039986170315 1.66792269600856 2
2.1999999999999753 0.011240257680948716 -0.03996003997035829 1.6679226960368707 2
2.299999999999973 0.007240257680274329 -0.039960039964135635 1.6679226960450642 2
2.399999999999971 0.0032402576800075896 -0.03996003996165848 1.6679226960503932 2
2.499999999999969 0.005028575280318023 0.6967414574315314 12 2
2.599999999999967 0.20025005292589462 2.6366690235616854 12 2
2.6999999999999647 0.48387914182815855 2.9412148841717944 12 2
